# mzPAF annotation of https://massbank.eu/MassBank/RecordDisplay?id=MSBNK-CASMI_2016-SM858102
 0  165.0698   104629.2  f{C13H9}/-0.55ppm
 1  167.0730   479334.8  f{C12H9N}/0.06ppm
 2  179.0726    82567.1  f{C13H9N}/-2.01ppm
 3  180.0808 27526884.0  f{C13H10N}/-0.11ppm
 4  181.0886   783300.1  f{C13H11N}/-0.09ppm
 5  182.0965  6583053.0  f{C13H12N}/0.26ppm
 6  192.0808   189835.2  f{C14H10N}/0.19ppm
 7  193.0887    66613.2  f{C14H11N}/0.45ppm
 8  208.0757  1080071.1  f{C14H10NO}/0.03ppm
 9  210.0913 14267887.0  f{C14H12NO}/-0.06ppm
10  236.0706  1108034.1  f{C15H10NO2}/-0.02ppm
11  253.0972  5960241.5  f{C15H13N2O2}/0.07ppm
12  254.0812 12681379.0  f{C15H12NO3}/-0.01ppm
13  255.0872    83641.8  f{C13H11N4O2}/-1.72ppm
14  271.1078   200555.8  f{C15H15N2O3}/0.34ppm
